id,task,framework,constraint,fold,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,auc,balacc,logloss,mae,models,models_ensemble_count,r2,rmse,tag
openml.org/t/189356,Albert,H2OAutoML_pull_5274_exclude_dl,1h8c,2,0.766515,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:42:19,3686.4,3302.9,3.1,20,1147936301,,0.668423,0.766515,0.668423,0.577289,,,,,,
openml.org/t/34539,Amazon_employee_access,H2OAutoML_pull_5274,1h8c,2,0.871478,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:36:42,3313.3,3179.2,0.9,172,437619951,,0.947818,0.871478,0.663602,0.156286,,,,,,
openml.org/t/34539,Amazon_employee_access,H2OAutoML_pull_5274_exclude_dl,1h8c,2,0.87407,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:24:04,2593.5,2497.4,0.5,195,1147936301,,0.949039,0.87407,0.671659,0.157005,,,,,,
openml.org/t/168868,APSFailure,H2OAutoML_pull_5274,1h8c,2,0.99277,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:36:43,3398.3,3325,0.3,39,437619951,,0.994474,0.99277,0.889707,0.019345,,,,,,
openml.org/t/168868,APSFailure,H2OAutoML_pull_5274_exclude_dl,1h8c,2,0.995288,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:35:40,3261.6,3189.6,0.3,35,1147936301,,0.993553,0.995288,0.867742,0.0193847,,,,,,
openml.org/t/190412,arcene,H2OAutoML_pull_5274,1h8c,2,0.916667,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:35:59,3319.4,3206,0.5,152,437619951,,0.9,0.916667,0.875,3.86332,,,,,,
openml.org/t/146818,Australian,H2OAutoML_pull_5274,1h8c,2,0.927844,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:23:04,2461.2,2432.7,0.2,76,437619951,,0.826087,0.927844,0.833192,0.360416,,,,,,
openml.org/t/146818,Australian,H2OAutoML_pull_5274_exclude_dl,1h8c,2,0.920204,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T08:43:08,49.2,28.1,0.2,31,1147936301,,0.869565,0.920204,0.869694,0.358419,,,,,,
openml.org/t/14965,bank-marketing,H2OAutoML_pull_5274,1h8c,2,0.943435,auc,aws,3.33.0.99999,"{'_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:33:56,3095.8,3019.4,0.8,140,437619951,,0.875249,0.943435,0.864584,0.221934,,,,,,
openml.org/t/14965,bank-marketing,H2OAutoML_pull_5274_exclude_dl,1h8c,2,0.94543,auc,aws,3.33.0.99999,"{'exclude_algos': ['DeepLearning'], '_save_artifacts': ['leaderboard', 'logs', 'model_predictions', 'models[binary]', 'models[json]'], 'verbosity': 'debug'}","dev [master, 24f7370]",2021-01-29T09:05:40,1375.2,1321.3,0.5,86,1147936301,,0.906658,0.94543,0.838914,0.201618,,,,,,
